brand_final,size_oz_rounded,STORE,n_weeks,mean_q,mean_p,p_min,p_max,unit_price_std,mean_cost,mean_promo,mean_log_comp_price,revenue_total,unit_price_cv,baseline_q,baseline_rev,baseline_margin,baseline_profit,opt_price,opt_promo,opt_q,opt_rev,opt_profit,opt_hits_upper,opt_hits_lower,profit_lift_abs,profit_lift_pct,q_lift_ratio
General Mills,12.0,107,354,131.3842,2.9699,1.6554,3.5113,0.3162,2.4615,0.1356,1.082,132538.9802,0.1065,131.3842,390.2033,0.5085,66.8065,4.038,1,111.7658,451.3114,176.2043,True,False,109.3978,163.7534,0.8507
General Mills,12.0,110,356,110.2247,2.9624,1.5205,3.69,0.3077,2.4895,0.1489,1.0606,109202.3305,0.1039,110.2247,326.5254,0.4729,52.1203,4.2435,1,85.1967,361.5323,149.4346,True,False,97.3143,186.7108,0.7729
General Mills,12.0,112,358,142.2346,2.9433,1.5625,3.5291,0.2951,2.4752,0.1229,1.0979,142614.0809,0.1003,142.2346,418.6353,0.4681,66.5734,4.0584,1,118.7323,481.8683,187.9798,True,False,121.4063,182.3646,0.8348
General Mills,12.0,113,357,123.1597,2.9557,1.7327,3.5051,0.301,2.468,0.1625,1.0687,124688.05,0.1018,123.1597,364.023,0.4877,60.0604,4.0308,1,103.0335,415.312,161.0215,True,False,100.9611,168.0991,0.8366
General Mills,12.0,114,357,121.0616,2.9679,1.836,3.4167,0.2979,2.4803,0.1317,1.0534,121791.3501,0.1004,121.0616,359.2988,0.4876,59.0277,3.9293,1,108.012,424.4063,156.5025,True,False,97.4748,165.1339,0.8922
General Mills,12.0,115,357,120.9664,2.966,1.5708,3.7792,0.3259,2.4626,0.1289,1.1004,121432.7,0.1099,120.9664,358.7899,0.5034,60.8974,4.346,1,90.685,394.1206,170.7993,True,False,109.9019,180.4707,0.7497
General Mills,12.0,118,270,79.6667,2.9353,1.6706,3.5082,0.3192,2.4078,0.137,1.0762,60994.4103,0.1088,79.6667,233.8448,0.5275,42.0232,4.0344,1,66.472,268.1753,108.1238,True,False,66.1006,157.2954,0.8344
General Mills,12.0,121,360,121.2389,2.9562,1.5387,3.69,0.321,2.4807,0.125,1.0881,123881.0607,0.1086,121.2389,358.4026,0.4754,57.6416,4.2435,1,94.3284,400.2827,166.2793,True,False,108.6377,188.4708,0.778
General Mills,12.0,122,359,175.3955,2.9545,1.547,3.69,0.3154,2.5019,0.1142,1.0784,176153.1203,0.1068,175.3955,518.2086,0.4526,79.3838,4.2435,1,136.9621,581.1987,238.5311,True,False,159.1473,200.4783,0.7809
General Mills,12.0,124,348,121.7931,3.0121,1.6489,3.5348,0.317,2.4486,0.1552,1.0933,119841.0802,0.1052,121.7931,366.8576,0.5636,68.6393,4.0651,1,104.0724,423.0597,168.2317,True,False,99.5924,145.0952,0.8545
General Mills,12.0,126,355,145.062,2.9565,1.587,3.69,0.3116,2.4629,0.1014,1.0917,144377.31,0.1054,145.062,428.8713,0.4935,71.5952,4.2435,1,114.0262,483.87,203.0326,True,False,131.4375,183.5843,0.7861
General Mills,12.0,129,335,113.1761,2.9816,1.6514,3.4721,0.2879,2.4872,0.1313,1.1068,108431.08,0.0965,113.1761,337.4509,0.4945,55.9609,3.9929,1,99.0138,395.3481,149.0825,True,False,93.1215,166.4045,0.8749
General Mills,12.0,132,360,146.3056,2.9509,1.6708,3.69,0.2849,2.4811,0.1361,1.0618,148593.4303,0.0965,146.3056,431.7353,0.4698,68.739,4.2435,1,112.945,479.2822,199.0561,True,False,130.3171,189.5826,0.772
General Mills,12.7,5,172,24.7035,3.1486,1.65,3.34,0.2237,2.5799,0.0407,1.154,12521.0701,0.071,24.7035,77.7815,0.5687,14.0483,3.841,1,26.3922,101.3726,33.2825,True,False,19.2342,136.9147,1.0684
General Mills,12.7,8,209,19.7703,3.1558,1.62,3.34,0.2148,2.5492,0.0383,1.1053,12347.84,0.068,19.7703,62.392,0.6066,11.9933,3.841,1,21.2277,81.5354,27.4218,True,False,15.4285,128.6419,1.0737
General Mills,12.7,9,209,9.933,3.1363,1.67,3.34,0.2352,2.5467,0.0383,1.1223,6214.61,0.075,9.933,31.1526,0.5896,5.8566,3.841,1,10.5512,40.5272,13.6569,True,False,7.8003,133.1873,1.0622
General Mills,12.7,21,204,17.2157,3.068,1.67,3.29,0.2237,2.5457,0.0441,1.0908,10094.28,0.0729,17.2157,52.8184,0.5223,8.992,3.7835,1,18.0251,68.1978,22.311,True,False,13.319,148.1199,1.047
General Mills,12.7,28,204,12.3578,3.0822,1.64,3.29,0.2122,2.554,0.0392,1.1109,7312.06,0.0689,12.3578,38.0894,0.5283,6.5281,3.7835,1,13.0695,49.4486,16.0696,True,False,9.5416,146.1619,1.0576
General Mills,12.7,40,198,16.2929,3.0668,1.64,3.29,0.2248,2.5562,0.0404,1.061,9251.91,0.0733,16.2929,49.9666,0.5105,8.3179,3.7835,1,17.0738,64.5986,20.9538,True,False,12.6359,151.9135,1.0479
General Mills,12.7,44,211,24.9289,3.1045,1.73,3.29,0.1952,2.5473,0.0332,1.1494,15799.3,0.0629,24.9289,77.393,0.5572,13.8907,3.7835,1,26.7646,101.2638,33.0854,True,False,19.1947,138.1833,1.0736
General Mills,12.7,45,123,16.0081,3.066,1.61,3.19,0.202,2.5409,0.0488,1.1146,5731.77,0.0659,16.0081,49.0812,0.5251,8.4062,3.6685,1,17.6235,64.6519,19.8723,True,False,11.4662,136.4016,1.1009
General Mills,12.7,47,204,15.0931,3.0822,1.66,3.29,0.2237,2.5552,0.0392,1.0969,8848.28,0.0726,15.0931,46.5194,0.527,7.9541,3.7835,1,15.9619,60.392,19.6067,True,False,11.6526,146.4987,1.0576
General Mills,12.7,48,148,10.9122,3.0912,1.6,3.29,0.2407,2.5539,0.0541,1.1288,4712.45,0.0779,10.9122,33.7319,0.5374,5.8637,3.7835,1,11.5257,43.6075,14.1724,True,False,8.3088,141.6992,1.0562
General Mills,12.7,50,62,12.6774,3.155,2.49,3.29,0.1363,2.5374,0.0484,1.1162,2436.39,0.0432,12.6774,39.9973,0.6176,7.829,3.7835,1,13.9047,52.6085,17.3261,True,False,9.497,121.3058,1.0968
General Mills,12.7,51,187,10.7273,3.0725,1.65,3.29,0.2146,2.544,0.0428,1.1096,5848.11,0.0698,10.7273,32.9597,0.5285,5.6693,3.7835,1,11.2663,42.6262,13.9644,True,False,8.2951,146.3163,1.0503
General Mills,12.7,52,210,16.5429,3.1203,1.76,3.43,0.2582,2.5442,0.0381,1.1497,10279.32,0.0828,16.5429,51.6192,0.5762,9.5315,3.9445,1,16.6377,65.6275,23.2984,True,False,13.7669,144.436,1.0057
General Mills,12.7,54,186,12.5,3.1182,1.62,3.29,0.2006,2.5627,0.0323,1.1316,6839.12,0.0643,12.5,38.9778,0.5555,6.9437,3.7835,1,13.528,51.1834,16.5147,True,False,9.5709,137.8355,1.0822
General Mills,12.7,67,181,11.6519,3.1087,1.62,3.29,0.202,2.5488,0.0442,1.1099,6113.01,0.065,11.6519,36.2221,0.5599,6.5238,3.7835,1,12.4798,47.2173,15.409,True,False,8.8852,136.1976,1.071
General Mills,12.7,68,189,13.6772,3.1489,1.64,3.43,0.2642,2.5428,0.0476,1.1142,7386.5499,0.0839,13.6772,43.0681,0.6061,8.2896,3.9445,1,13.9172,54.8963,19.5077,True,False,11.2181,135.3268,1.0175
General Mills,12.7,71,211,20.4502,3.0762,1.65,3.29,0.2368,2.5461,0.0332,1.0906,12416.3999,0.077,20.4502,62.9082,0.53,10.8391,3.7835,1,21.6104,81.763,26.74,True,False,15.9008,146.698,1.0567
General Mills,12.7,74,175,17.7543,3.1341,1.6,3.29,0.2136,2.5745,0.0457,1.1074,9136.8799,0.0681,17.7543,55.644,0.5596,9.9355,3.7835,1,19.2729,72.919,23.3009,True,False,13.3654,134.5211,1.0855
