spec,fe,estimator,beta_own,se,n_obs,first_stage_F
M0,bs_store + week,OLS,-1.7280156372730713,0.01965284826984001,2585060,
M0b,bs_store + store_week,OLS,-1.8045555114599146,0.020082121198969252,2585060,
M1,bs_store + week,IV (Z_H),-1.7805103544570569,0.021212567287470504,2585060,15594952.606151963
M2,bs_store + week,"IV (Z_H, Z_C)",-1.7802403303537657,0.02121309588697762,2585060,7797520.790198463
