brand_final,size_oz_rounded,STORE,beta_own,beta_cross,promo_theta,opt_price,opt_promo,opt_profit,baseline_profit,profit_lift_abs
Kellogg's,18.0,74,-1.9,0.65,0.3,5.2325,1,182.9052,67.9503,114.9548
Kellogg's,20.0,80,-1.9,0.65,0.3,5.1047,1,204.5004,75.3378,129.1626
Post,16.0,126,-1.9,0.65,0.3,4.054,1,165.0851,67.054,98.031
General Mills,12.0,102,-1.9,0.65,0.43,3.9119,1,260.3995,94.7499,165.6496
General Mills,14.0,126,-1.9,0.65,0.43,4.3154,1,232.9539,85.05,147.9039
General Mills,15.0,126,-1.9,0.65,0.43,4.1096,1,197.841,72.3111,125.53
General Mills,18.0,126,-1.9,0.65,0.43,5.1995,1,210.4991,69.8643,140.6348
General Mills,20.0,126,-1.9,0.65,0.43,5.1635,1,307.3118,104.6533,202.6585
Kellogg's,12.0,18,-1.9,0.65,0.43,3.7705,1,185.7692,57.5814,128.1878
Kellogg's,15.0,102,-1.9,0.65,0.43,4.3011,1,501.1884,186.6738,314.5146
Kellogg's,18.0,74,-1.9,0.65,0.43,5.2325,1,205.2448,67.9503,137.2945
Kellogg's,20.0,80,-1.9,0.65,0.43,5.1047,1,227.2879,75.3378,151.9501
Post,16.0,126,-1.9,0.65,0.43,4.054,1,183.7514,67.054,116.6974
General Mills,12.0,102,-1.9,0.65,0.51,3.9119,1,279.2964,94.7499,184.5464
General Mills,14.0,126,-1.9,0.65,0.51,4.3154,1,250.7775,85.05,165.7275
General Mills,15.0,126,-1.9,0.65,0.51,4.1096,1,212.5391,72.3111,140.228
General Mills,18.0,126,-1.9,0.65,0.51,5.1995,1,226.9001,69.8643,157.0357
General Mills,20.0,126,-1.9,0.65,0.51,5.1635,1,331.2559,104.6533,226.6026
Kellogg's,12.0,18,-1.9,0.65,0.51,3.7705,1,199.8443,57.5814,142.2629
Kellogg's,15.0,102,-1.9,0.65,0.51,4.3011,1,528.7625,186.6738,342.0887
Kellogg's,18.0,74,-1.9,0.65,0.51,5.2325,1,220.328,67.9503,152.3777
Kellogg's,20.0,80,-1.9,0.65,0.51,5.1047,1,242.5556,75.3378,167.2179
Post,16.0,126,-1.9,0.65,0.51,4.054,1,196.2728,67.054,129.2188
General Mills,12.0,102,-1.73,0.0,0.3,3.9119,1,228.4527,94.7499,133.7028
General Mills,14.0,126,-1.73,0.0,0.3,4.3154,1,203.1645,85.05,118.1145
General Mills,15.0,126,-1.73,0.0,0.3,4.1096,1,172.9458,72.3111,100.6347
General Mills,18.0,126,-1.73,0.0,0.3,5.1995,1,185.3806,69.8643,115.5162
General Mills,20.0,126,-1.73,0.0,0.3,5.1635,1,266.0206,104.6533,161.3673
Kellogg's,12.0,18,-1.73,0.0,0.3,3.7705,1,165.8067,57.5814,108.2253
