spec,instruments,partial_rsq,F,q
M1,Z_H,0.7147081195278475,15594952.606151963,1
M2,"Z_H, Z_C",0.7147087386465597,7797520.790198463,2
Z_H ~ promo,promo_any_int,0.1765915641076663,554402.1844205711,1
